city,state,publish_date,url,title,category,population,lat,lng
Cordova,AK,03-27-2020 00:00,https://www.thecordovatimes.com/2020/03/27/new-mandates-on-travel-distancing-as-covid-19-cases-hit-85-in-alaska/,"New mandates on travel, distancing as COVID-19 cases hit 85 in Alaska -The Cordova Times",social_distance,2187.0,60.5348,-145.6092
Goldstream,AK,03-25-2020 21:30,https://www.goldstreamgazette.com/news/covid-19-major-world-updates-930-p-m-u-s-senate-approves-2-trillion-relief-package/,"COVID-19 major world updates, 9:30 p.m.: U.S. Senate approves $2-trillion relief package – Goldstream News Gazette",None,3987.0,64.9339,-148.0083
Apache Junction,AZ,03-19-2020 00:00,https://www.azcentral.com/story/news/local/pinal/2020/03/19/apache-junction-closes-city-facilities-amid-growing-covid-19-concerns/2872002001/,"Apache Junction declares emergency, closes city facilities amid growing coronavirus concerns",state_of_emergency,40538.0,33.3985,-111.5351
Buckeye,AZ,03-18-2020 00:00,https://www.azcentral.com/story/news/local/southwest-valley/2020/03/18/buckeye-city-closures-curb-spread-coronavirus/2867703001/,"Buckeye declares local emergency, closes city facilities to curb spread of coronavirus",state_of_emergency,68453.0,33.4314,-112.6429
Congress,AZ,03-25-2020 00:00,https://chamberbusinessnews.com/2020/03/25/congress-declares-world-war-iii-on-coronavirus/,Congress declares World War III on coronavirus,disaster_declaration,1454.0,34.1526,-112.8642
Flagstaff,AZ,,https://www.azfamily.com/news/continuing_coverage/coronavirus_coverage/city-of-flagstaff-declares-state-of-emergency-amid-coronavirus-outbreak/article_b1ef8cfa-6706-11ea-b5c4-b3f4e5d4b35e.html,City of Flagstaff declares state of emergency amid coronavirus outbreak,state_of_emergency,78628.0,35.1872,-111.6195
Guadalupe,AZ,03-19-2020 00:00,https://www.azcentral.com/story/news/local/tempe/2020/03/19/guadalupe-arizona-council-vote-emergency-declaration-services-reduced/2872008001/,Guadalupe Council approves emergency declaration; town services reduced due to coronavirus,state_of_emergency,6525.0,33.3664,-111.9633
Marana,AZ,03-17-2020 00:00,https://kvoa.com/coronavirus-coverage/2020/03/17/mayor-of-marana-declares-local-emergency-to-combat-spread-of-covid-19/,Mayor of Marana declares Local Emergency to combat spread of COVID-19,state_of_emergency,44792.0,32.4355,-111.1558
Nogales,AZ,03-21-2020 00:00,https://kvoa.com/news/local-news/2020/03/21/nogales-declares-state-of-emergency/,Nogales declares state of emergency in response to Covid-19,state_of_emergency,30876.0,31.3624,-110.9336
Oro Valley,AZ,03-17-2020 00:00,https://kvoa.com/news/2020/03/17/oro-valley-mayor-declares-local-emergency-in-response-to-covid-19-pandemic/,Oro Valley mayor declares local emergency in response to COVID-19 pandemic,state_of_emergency,44350.0,32.4223,-110.9767
Paradise Valley,AZ,,"https://yourvalley.net/paradise-valley-independent/stories/paradise-valley-mayor-declares-state-of-emergency-for-covid-19,147701",Paradise Valley Mayor declares state of emergency for COVID-19,state_of_emergency,14293.0,33.5434,-111.9595
Pima,AZ,03-28-2020 00:00,https://www.tucsonweekly.com/TheRange/archives/2020/03/28/your-southern-az-coronovirus-roundup-for-saturday-march-28-az-cases-rise-to-773-x-cases-in-pima-county-romero-orders-closure-of-non-essent,"Your Southern AZ Coronovirus Roundup for Saturday, March 28: AZ Cases Rise to 773; 120 Cases in Pima County; Romero Orders Closure of Non-Essential Biz in Tucson and Urges Residents To Stay Home",shelter_in_place,2513.0,32.8886,-109.8437
Shonto,AZ,03-21-2020 23:51,https://navajotimes.com/coronavirus-updates/shonto-prep-tenant-tests-positive-for-covid-19-tenants-ordered-to-shelter-in-place/,Shonto Prep tenant tests positive for COVID-19; tenants ordered to shelter in place,shelter_in_place,543.0,36.5893,-110.6607
Somerton,AZ,,https://www.kawc.org/post/yuma-and-somerton-declare-state-emergency-covid-19,Yuma and Somerton Declare State of Emergency on COVID-19,state_of_emergency,19168.0,32.6009,-114.699
South Tucson,AZ,03-19-2020 00:00,https://www.kold.com/2020/03/19/south-tucson-mayor-declares-local-emergency-amid-coronavirus-outbreak/,South Tucson mayor declares local emergency amid coronavirus outbreak,state_of_emergency,5643.0,32.1955,-110.9692
Surprise,AZ,03-18-2020 00:00,https://www.azcentral.com/story/news/local/surprise/2020/03/18/surprise-cancels-programs-closes-meetings-public-halt-covid-19/2867766001/,"Surprise declares emergency, shuts down playgrounds, cancels events to slow spread of coronavirus",state_of_emergency,134085.0,33.68,-112.4524
Tempe,AZ,,https://www.statepress.com/article/2020/03/sppolitics-tempe-declares-state-of-emergency,Tempe declares citywide emergency to combat coronavirus spread,state_of_emergency,185038.0,33.3881,-111.9318
Tolleson,AZ,03-19-2020 00:00,https://www.azcentral.com/story/news/local/southwest-valley/2020/03/19/tolleson-declares-emergency-closes-bars-and-bans-dining-in-restaurants-curb-coronavirus/2874709001/,Tolleson joins other Arizona cities to declare emergency; city employee tests positive for coronavirus,state_of_emergency,7205.0,33.4484,-112.2561
Tusayan,AZ,03-19-2020 00:00,https://www.williamsnews.com/news/2020/mar/19/tusayan-approves-25000-aid-residents-affected-econ/,"Tusayan approves $25,000 to aid residents affected by economic shortages amid COVID-19 shutdowns",None,583.0,35.955,-112.1202
Yuma,AZ,,https://www.kawc.org/post/yuma-county-declares-emergency-due-covid-19,Yuma County Declares Emergency Due To COVID-19,state_of_emergency,138802.0,32.5991,-114.5488
Bay,AR,,https://www.msn.com/en-us/travel/article/coronavirus-impact-bay-area-restaurants-asking-for-support-after-accepting-take-out-only-orders/ar-BB11QWlQ?ocid=hplocalnews,Coronavirus impact: Bay Area restaurants asking for support after accepting take-out only orders,None,1805.0,35.7456,-90.5547
Benton,AR,03-16-2020 17:49,https://www.5newsonline.com/article/news/health/coronavirus/benton-county-emergency-proclamation-coronavirus/527-f2afd6b5-8741-4057-bbe6-a026bb4eb822,Benton County judge declares emergency proclamation to help combat coronavirus,state_of_emergency,35789.0,34.5771,-92.5715
Fayetteville,AR,03-13-2020 15:04,https://www.5newsonline.com/article/news/health/coronavirus/state-of-emergency-fayetteville-coronavirus/527-0e904612-698c-4297-b282-79bf9ae70d15,Fayetteville mayor declares State of Emergency over coronavirus threat,state_of_emergency,341890.0,36.0713,-94.166
Jonesboro,AR,03-29-2020 02:33,https://www.thesun.co.uk/news/11279640/huge-tornado-rips-through-jonesboro-in-arkansas-as-residents-remain-in-coronavirus-lockdown/,Huge tornado rips through Jonesboro in Arkansas as residents remain in coronavirus lockdown,lockdown,73788.0,35.8211,-90.6793
LaGrange,AR,03-17-2020 00:00,https://www.wtvm.com/2020/03/17/watch-live-emergency-meeting-held-troup-co-after-second-covid-case-confirmed/,State of emergency declared in LaGrange after second COVID-19 case confirmed in Troup Co.,state_of_emergency,77.0,34.6555,-90.7351
Pine Bluff,AR,03-28-2020 00:00,https://www.pbcommercial.com/news/20200328/city-of-pine-bluff-orders-curfew-as-precaution-against-covid-19,City of Pine Bluff orders curfew as precaution against COVID-19,lockdown,46850.0,34.2116,-92.0178
Adelanto,CA,03-28-2020 22:00,https://ktla.com/news/local-news/federal-judge-orders-release-of-2-immigrants-from-adelanto-detention-facility-over-covid-19-risks/,Federal judge orders release of 2 immigrants from Adelanto detention facility over COVID-19 risks,None,34066.0,34.5815,-117.4397
Adelanto,CA,03-13-2020 01:20,https://www.vvng.com/adelanto-council-declares-local-emergency-seeks-coronavirus-funding/,"Adelanto Council declares local emergency, seeks coronavirus funding",state_of_emergency,34066.0,34.5815,-117.4397
Alameda,CA,,https://www.ktvu.com/news/coronavirus-5-new-bay-area-cases-alameda-county-declares-health-emergency,Coronavirus: 5 new Bay Area cases; Alameda County declares health emergency,state_of_emergency,79177.0,37.766999999999996,-122.2673
Alhambra,CA,,https://www.alhambrasource.org/story/alhambra-council-declares-state-of-emergency-in-response-to-covid-19,Alhambra Council Declares State of Emergency in Response to COVID-19,state_of_emergency,85396.0,34.084,-118.1355
Alto,CA,03-12-2020 00:00,https://paloaltoonline.com/news/2020/03/12/palo-alto-declares-coronavirus-emergency,Palo Alto declares coronavirus 'state of emergency',state_of_emergency,751.0,37.9056,-122.5187
Angels,CA,,https://www.mymotherlode.com/news/local/1025565/angels-camp-council-to-declare-local-covid-19-emergency.html,Angels Camp Council To Declare Local COVID-19 Emergency,state_of_emergency,3723.0,38.0706,-120.5501
Apple Valley,CA,03-22-2020 05:42,https://www.vvng.com/town-of-apple-valley-declares-local-emergency-amid-coronavirus-pandemic/,Town of Apple Valley declares local emergency amid coronavirus pandemic,state_of_emergency,73077.0,34.5328,-117.2104
Arcadia,CA,03-21-2020 17:49,https://abc7.com/6035930,Coronavirus: Arcadia neighborhood outraged over Edison's planned power outage amid stay-at-home orders,shelter_in_place,58799.0,34.1342,-118.0373
Arcata,CA,03-21-2020 21:14,https://www.times-standard.com/arcata-declares-local-emergency-to-slow-covid-19-pandemic,Arcata declares local emergency to slow COVID-19 pandemic,state_of_emergency,33806.0,40.8615,-124.0757
Arroyo Grande,CA,03-14-2020 00:00,https://keyt.com/lifestyle/events/2020/03/14/arroyo-grande-makes-changes-and-closures-for-coronavirus-health-emergency/,Arroyo Grande makes changes and closures for coronavirus health emergency - KEYT,None,54620.0,35.1242,-120.5845
Beaumont,CA,03-18-2020 13:24,https://patch.com/california/banning-beaumont/city-beaumont-declares-local-emergency-due-coronavirus,City Of Beaumont Declares Local Emergency Due To Coronavirus,state_of_emergency,46967.0,33.907,-116.9762
Benicia,CA,03-17-2020 17:33,https://beniciaheraldonline.com/city-of-benicia-declares-local-emergency-in-response-to-covid-19/,City of Benicia declares Local Emergency in response to COVID-19,state_of_emergency,28343.0,38.0704,-122.1541
Beverly Hills,CA,03-16-2020 11:29,https://patch.com/california/beverlyhills/beverly-hills-declares-local-emergency-amid-coronavirus-concerns,Beverly Hills Declares Local Emergency Amid Coronavirus Concerns,state_of_emergency,34484.0,34.0786,-118.4021
Burlingame,CA,03-19-2020 00:00,https://sanfrancisco.cbslocal.com/2020/03/19/coronavirus-update-burlingame-senior-facility-outbreak-new-shelter-in-place-orders-cases-continue-to-grow/,Coronavirus Update: Burlingame Senior Facility Outbreak; New Shelter-In-Place Orders; Bay Area Cases On The Rise – CBS San Francisco,shelter_in_place,30686.0,37.586,-122.3669
Carson,CA,,https://www.nevadaappeal.com/news/carson-city-declares-state-of-emergency-due-to-coronavirus/,Carson City declares State of Emergency due to coronavirus,state_of_emergency,92735.0,33.8374,-118.2559
Clovis,CA,,https://www.fresnobee.com/news/local/article241251261.html,Clovis CA local emergency proclamation regarding coronavirus,state_of_emergency,109691.0,36.8277,-119.6838
Clovis,CA,03-17-2020 06:18,https://abc30.com/clovis-city-of-covid-19-coronavirus/6020306,City of Clovis declares local emergency amid COVID-19 concerns,state_of_emergency,109691.0,36.8277,-119.6838
Columbia,CA,03-15-2020 00:00,https://www.baltimoresun.com/coronavirus/bs-hs-howard-first-case-20200315-lpezhh7jd5g5jodvqzzh7w4blm-story.html,Howard County reports its first coronavirus case; Ball declares state of emergency; Columbia mall to close for a week; CA shuts down,state_of_emergency,2329.0,38.0333,-120.4097
Concord,CA,03-15-2020 12:29,https://patch.com/california/concord-ca/concord-declares-emergency-amid-coronavirus-outbreak,Concord Declares Emergency Amid Coronavirus Outbreak,state_of_emergency,654770.0,37.9722,-122.0016
Copperopolis,CA,03-10-2020 23:07,https://fox40.com/news/local-news/calaveras-county-declares-public-health-emergency-after-two-confirmed-cases-of-covid-19-in-copperopolis/,Calaveras County declares public health emergency after two confirmed cases of COVID-19 in Copperopolis,state_of_emergency,4214.0,37.9365,-120.6277
Corona,CA,,https://www.latimes.com/california/liveblog/coronavirus-live-updates-friday-march-27,Coronavirus live updates: Trump declares a major disaster in Michigan,disaster_declaration,167836.0,33.861999999999995,-117.5641
Corona,CA,03-04-2020 00:00,https://www.npr.org/sections/health-shots/2020/03/04/812121540/coronavirus-los-angeles-declares-emergency-and-u-s-reports-80-cases-in-13-states,"Coronavirus Deaths In Washington State And California, Where Gov. Declares Emergency",state_of_emergency,167836.0,33.861999999999995,-117.5641
Corona,CA,,https://www.bbc.com/news/world-us-canada-51740706,Coronavirus: California declares emergency after death,state_of_emergency,167836.0,33.861999999999995,-117.5641
Costa Mesa,CA,03-12-2020 00:00,https://losangeles.cbslocal.com/2020/03/12/costa-mesa-declares-local-emergency-over-coronavirus-pandemic-cancels-large-scale-gatherings/,"Costa Mesa Declares Local Emergency Over Coronavirus Pandemic, OCFA Closes All Fire Stations To Public",state_of_emergency,113825.0,33.6667,-117.9135
Costa Mesa,CA,03-14-2020 00:00,https://www.latimes.com/socal/daily-pilot/news/story/2020-03-14/costa-mesa-to-create-disaster-council-to-coordinate-coronavirus-response,Costa Mesa set to create Disaster Council to coordinate coronavirus response,None,113825.0,33.6667,-117.9135
Creston,CA,03-28-2020 12:15,https://www.crestonvalleyadvance.ca/news/latest-canadian-updates-about-7-of-covid-19-cases-require-hospitalization/,Latest Canadian updates: About 7% of COVID-19 cases require hospitalization – Creston Valley Advance,None,52.0,35.5173,-120.521
Creston,CA,03-28-2020 18:00,https://www.crestonvalleyadvance.ca/news/covid-19-world-update-enforceable-quarantine-in-nyc-france-orders-1-billion-masks/,COVID-19 world update: Enforceable quarantine in NYC?; France orders 1 billion masks – Creston Valley Advance,quarantine,52.0,35.5173,-120.521
Delano,CA,03-16-2020 22:23,https://www.kget.com/health/coronavirus/city-of-delano-to-declare-emergency-because-of-coronavirus-concerns/,City of Delano to declare emergency because of coronavirus concerns,state_of_emergency,54471.0,35.766999999999996,-119.2637
Dublin,CA,03-16-2020 18:39,https://patch.com/california/dublin/dublin-declares-state-emergency-coronavirus,Emergency Declaration Issued In Dublin: Coronavirus,state_of_emergency,60939.0,37.7161,-121.8964
Dublin,CA,03-03-2020 11:54,https://patch.com/california/dublin/norcal-coronavirus-emergency-center-located-dublin,NorCal Coronavirus Emergency Center Located In Dublin,None,60939.0,37.7161,-121.8964
El Cajon,CA,03-16-2020 14:05,https://www.kusi.com/city-of-el-cajon-declares-state-of-emergency-in-response-to-coronavirus/,City of El Cajon declares State of Emergency in response to Coronavirus -,state_of_emergency,103894.0,32.8017,-116.9604
El Cerrito,CA,03-13-2020 20:43,https://patch.com/california/elcerrito/el-cerrito-declares-state-emergency-coronavirus,El Cerrito Declares State Of Emergency: Coronavirus,state_of_emergency,25515.0,37.9197,-122.3025
Fontana,CA,03-14-2020 21:57,https://www.sbsun.com/fontana-declares-local-emergency-to-curb-coronavirus-spread,Fontana declares local emergency to curb coronavirus spread,state_of_emergency,211815.0,34.0968,-117.4599
Fortuna,CA,03-20-2020 00:00,https://www.times-standard.com/2020/03/20/fortuna-declares-local-emergency-in-response-to-covid-19/,Fortuna declares local emergency in response to COVID-19,state_of_emergency,13375.0,40.586,-124.1424
Fremont,CA,03-13-2020 20:26,https://patch.com/california/fremont/fremont-declares-state-emergency-coronavirus,Fremont Declares State Of Emergency: Coronavirus,state_of_emergency,234962.0,37.5265,-121.9852
Fremont,CA,03-14-2020 06:38,https://patch.com/california/fremont/city-fremont-declares-local-emergency-response-covid-19-pandemic,City Of Fremont Declares Local Emergency In Response To COVID-19 Pandemic,state_of_emergency,234962.0,37.5265,-121.9852
Fresno,CA,,https://www.fresnobee.com/news/coronavirus/article241580081.html,Fresno County CA issues orders to businesses to slow coronavirus,None,698021.0,36.7831,-119.7941
Fresno,CA,,https://www.fresnobee.com/news/coronavirus/article241230191.html,Fresno CA mayor declares coronavirus state of emergency,state_of_emergency,698021.0,36.7831,-119.7941
Fresno,CA,,https://www.fresnobee.com/news/coronavirus/article241210506.html,Fresno County declares state of emergency over coronavirus,state_of_emergency,698021.0,36.7831,-119.7941
Galt,CA,,https://www.lodinews.com/news/article_0c5f7db0-663c-11ea-bac0-6fb27f42d5a9.html,City of Galt declares emergency in response to coronavirus,state_of_emergency,27571.0,38.2693,-121.3
Gilroy,CA,03-14-2020 01:11,https://gilroydispatch.com/covid-19-gilroy-declares-emergency-cancels-most-meetings/,"COVID-19: Gilroy declares emergency, cancels most meetings",state_of_emergency,116235.0,37.0047,-121.5856
Glendale,CA,03-26-2020 00:00,https://www.latimes.com/socal/glendale-news-press/news/story/2020-03-26/lendale-state-of-emergency-extended-to-april-30,"With local coronavirus cases rising rapidly, Glendale extends state of emergency to April 30",state_of_emergency,203054.0,34.1818,-118.2468
Glendale,CA,03-25-2020 00:00,https://www.latimes.com/socal/glendale-news-press/news/story/2020-03-25/glendale-bans-rent-increases-amid-coronavirus-emergency,"Glendale halts rent increases amid coronavirus emergency, as some tenants call for ‘rent freeze’",None,203054.0,34.1818,-118.2468
Glendale,CA,03-20-2020 00:00,https://www.latimes.com/socal/glendale-news-press/news/story/2020-03-20/tn-gnp-me-glendale-follows-safer-at-home-order,"Coronavirus: Glendale follows L.A. County’s ‘Safer at Home’ order, requiring the closure of more businesses",shelter_in_place,203054.0,34.1818,-118.2468
Goleta,CA,03-18-2020 00:00,https://www.independent.com/2020/03/18/goleta-city-council-takes-emergency-action-to-prevent-spread-of-covid-19/,Goleta City Council Takes Emergency Action to Prevent Spread of COVID-19,None,31116.0,34.436,-119.8595
Goleta,CA,03-16-2020 00:00,https://www.independent.com/2020/03/16/city-of-goleta-proclaims-local-emergency-and-implements-enhanced-measures-to-help-prevent-spread-of-covid-19/,City of Goleta Proclaims Local Emergency and Implements Enhanced Measures to Help Prevent Spread of COVID-19,state_of_emergency,31116.0,34.436,-119.8595
Greenview,CA,,https://globalnews.ca/news/6721593/coronavirus-covid-19-greenview-alberta-state-of-emergency/,M.D. of Greenview No. 16 declares local state of emergency over COVID-19 crisis,state_of_emergency,175.0,41.5471,-122.9185
Hanford,CA,,https://hanfordsentinel.com/news/local/hanford-city-council-declares-local-emergency-in-regards-to-covid/article_ebe583b0-11a3-581d-a104-ee28766017c6.html,Hanford City Council declares local emergency in regards to COVID-19,state_of_emergency,92066.0,36.3264,-119.6544
Healdsburg,CA,03-13-2020 10:30,https://patch.com/california/healdsburg/healdsburg-declares-local-emergency-due-covid-19,Healdsburg Declares Local Emergency Due To COVID-19,state_of_emergency,11840.0,38.6229,-122.8651
Healdsburg,CA,03-03-2020 03:18,https://abc7news.com/5980442,"Coronavirus outbreak: Sonoma County officials declare health emergency, healdsburg school closes",state_of_emergency,11840.0,38.6229,-122.8651
Healdsburg,CA,,http://www.sonomawest.com/the_healdsburg_tribune/news/healdsburg-declares-local-emergency-in-response-to-covid/article_6d4b150e-6488-11ea-bfd8-17cf1711399f.html,Healdsburg declares local emergency in response to COVID-19,state_of_emergency,11840.0,38.6229,-122.8651
Hemet,CA,,https://myvalleynews.com/hemet-city-council-proclaims-community-emergency-over-the-coronavirus-in-special-teleconference-meet/,Hemet City Council proclaims ‘community emergency’ over the coronavirus in special teleconference meet,state_of_emergency,176892.0,33.7341,-116.9969
Hermosa Beach,CA,03-16-2020 18:40,https://patch.com/california/hermosabeach/coronavirus-hermosa-beach-considers-declaring-local-emergency,Coronavirus: Hermosa Beach Considers Declaring Local Emergency,state_of_emergency,19708.0,33.8654,-118.3966
Highland,CA,03-25-2020 19:55,https://www.redlandsdailyfacts.com/highland-declares-emergency-in-response-to-coronavirus,Highland declares emergency in response to coronavirus,state_of_emergency,55342.0,34.1113,-117.1654
Hoopa,CA,03-05-2020 00:00,http://kymkemp.com/2020/03/05/hoopa-valley-tribe-chairman-declares-emergency-due-to-coronavirus/,Hoopa Valley Tribe Chairman Declares Emergency Due to Coronavirus – Redheaded Blackbelt,state_of_emergency,3393.0,41.0803,-123.6972
Huntington Beach,CA,03-17-2020 00:00,https://www.latimes.com/socal/daily-pilot/news/story/2020-03-17/huntington-beach-closes-libraries-and-declares-local-emergency-in-response-to-coronavirus-outbreak,Huntington Beach closes libraries and declares local emergency in response to coronavirus outbreak,state_of_emergency,201874.0,33.696,-118.0025
Huron,CA,,https://www.bayshorebroadcasting.ca/news_item.php?NewsID=116224,"Huron County Declares State Of Emergency, In Response To COVID-19",state_of_emergency,7311.0,36.204,-120.0961
Indio,CA,03-16-2020 18:45,https://patch.com/california/palmdesert/city-indio-proclaims-local-emergency-due-coronavirus,City Of Indio Proclaims Local Emergency Due To Coronavirus,state_of_emergency,408097.0,33.7346,-116.2346
Laguna Beach,CA,03-27-2020 00:00,https://www.latimes.com/socal/daily-pilot/news/story/2020-03-27/laguna-beach-may-ask-landlords-to-defer-rent-and-evictions-through-may,Laguna Beach considers seeking renter relief amid coronavirus; governor orders statewide ban on evictions,None,23147.0,33.5449,-117.7613
Laguna Beach,CA,03-15-2020 23:04,https://patch.com/california/lagunabeach/city-laguna-beach-declares-local-emergency-covid-19,City of Laguna Beach Declares Local Emergency to COVID-19,state_of_emergency,23147.0,33.5449,-117.7613
Laguna Beach,CA,03-16-2020 00:00,https://www.latimes.com/socal/daily-pilot/news/story/2020-03-16/laguna-beach-closes-city-hall-to-public-declares-local-emergency-in-response-to-coronavirus,Laguna Beach closes City Hall to public after declaring local emergency in response to the coronavirus,state_of_emergency,23147.0,33.5449,-117.7613
Lennox,CA,03-26-2020 19:36,http://kingstonherald.com/release/lennox-addington-state-emergency-2010328499,Lennox and Addington County Declares State of Emergency due to COVID-19 Pandemic,state_of_emergency,21537.0,33.938,-118.3586
Livermore,CA,03-26-2020 12:00,https://patch.com/california/livermore/coronavirus-evictions-halted-livermore,Evictions Halted In Livermore Amid Coronavirus Emergency,None,91030.0,37.6861,-121.7608
Livermore,CA,03-13-2020 19:49,https://patch.com/california/livermore/coronavirus-local-emergency-declared-livermore,Coronavirus: Local Emergency Declared In Livermore,state_of_emergency,91030.0,37.6861,-121.7608
London,CA,,https://globalnews.ca/news/6708850/london-state-of-emergency-coronavirus-covid-19/,City of London declares state of emergency over coronavirus pandemic,state_of_emergency,1872.0,36.481,-119.444
London,CA,,https://globalnews.ca/news/6742776/coronavirus-city-tipline-london-covid-19/,Coronavirus: New city tipline looks to crack down on Londoners violating COVID-19 orders,None,1872.0,36.481,-119.444
Malibu,CA,03-16-2020 13:19,https://patch.com/california/malibu/malibu-declares-local-emergency-amid-coronavirus-pandemic,Malibu Declares Local Emergency Amid Coronavirus Pandemic,state_of_emergency,12877.0,34.0368,-118.7845
Manhattan Beach,CA,03-16-2020 14:37,https://patch.com/california/manhattanbeach/manhattan-beach-declares-local-emergency-over-coronavirus,Manhattan Beach Declares Local Emergency Over Coronavirus,state_of_emergency,35924.0,33.8895,-118.3972
Manhattan Beach,CA,03-20-2020 17:23,https://patch.com/california/manhattanbeach/manhattan-beach-prohibits-non-essential-construction-coronavirus,Manhattan Beach Prohibits Non-Essential Construction: Coronavirus,None,35924.0,33.8895,-118.3972
Manila,CA,03-14-2020 09:34,https://www.ctvnews.ca/health/coronavirus/philippines-declares-curfew-in-manila-to-fight-coronavirus-1.4853140,Philippines declares curfew in Manila to fight coronavirus,lockdown,823.0,40.8513,-124.1631
Mendocino,CA,03-05-2020 06:43,https://mendovoice.com/2020/03/mendocino-county-california-declare-states-of-emergency-in-anticipation-of-covid-19-county-sets-up-info-hotline-still-no-cases-identified-in-county/,"Mendocino County, California, declare states of emergency in anticipation of COVID-19, county sets up info hotline -- still no cases identified in county • The Mendocino Voice",state_of_emergency,664.0,39.311,-123.7908
Menlo Park,CA,03-12-2020 12:16,https://www.kron4.com/news/bay-area/menlo-park-declares-local-emergency-over-coronavirus/,Menlo Park declares local emergency over coronavirus,state_of_emergency,34357.0,37.4686,-122.1672
Menlo Park,CA,03-13-2020 09:36,https://patch.com/california/menlopark-atherton/menlo-park-declares-local-emergency-over-covid-19,Menlo Park Declares Local Emergency Over Covid-19,state_of_emergency,34357.0,37.4686,-122.1672
