state,county,publish_date,url,title,category,population
California,San Joaquin,43907.0,https://www.recordnet.com/news/20200317/san-joaquin-county-declares-emergency-over-coronavirus,San Joaquin County declares emergency over coronavirus,state_of_emergency,704379.0
California,Santa Barbara,,https://www.noozhawk.com/article/santa_barbara_county_declares_public_health_emergency_for_coronavirus,Santa Barbara County Declares Public Health Emergency for Coronavirus,state_of_emergency,435697.0
California,Santa Cruz,43906.80139,https://patch.com/california/santacruz/coronavirus-shelter-place-issued-santa-cruz-county,Coronavirus: Shelter In Place Order Issued For Santa Cruz County,shelter_in_place,269419.0
California,Shasta,43907.0,https://www.redding.com/story/news/2020/03/17/coronavirus-shasta-county-redding-anderson-shasta-lake/5074496002/,"Shasta County, cities declare joint coronavirus emergency to 'maximize ongoing response'",state_of_emergency,178980.0
California,Sierra,,https://www.sacbee.com/news/local/education/article241028181.html,Sierra College in CA declares emergency over coronavirus,state_of_emergency,3047.0
California,Solano,,https://www.ktvu.com/news/solano-county-declares-state-of-emergency-over-coronavirus,Solano County declares state of emergency over coronavirus,state_of_emergency,424788.0
California,Sonoma,43895.37431,https://www.pressdemocrat.com/news/10783181-181/sonoma-county-california-declare-emergencies,"Sonoma County, California declare emergencies in wake of state’s first coronavirus death",state_of_emergency,495025.0
California,Sonoma,43913.04653,https://www.pressdemocrat.com/news/10834733-181/sonoma-county-police-ask-for,Sonoma County law enforcement agencies ask for voluntary compliance of shelter-in-place orders,shelter_in_place,495025.0
California,Stanislaus,,https://www.modbee.com/news/coronavirus/article241316716.html,Stanislaus court granted emergency order to limit operations,None,525491.0
California,Sutter,,https://yubanet.com/regional/bi-county-health-officer-recommends-state-of-emergency-for-covid-19-preparedness-in-yuba-and-sutter-counties/,Bi-County Health Officer Recommends State of Emergency for COVID-19 Preparedness in Yuba and Sutter counties,state_of_emergency,95350.0
California,Sutter,43895.975,https://www.pressdemocrat.com/news/10788596-181/sutter-santa-rosa-orders-coronavirus,"Sutter Santa Rosa orders coronavirus quarantine for at least 30 hospital workers, union says",quarantine,95350.0
California,Tulare,43907.0,https://www.visaliatimesdelta.com/story/news/2020/03/17/supervisors-visalia-declare-states-emergency-over-covid-19/5068654002/,"Visalia, Board of Supervisors declare states of emergency over COVID-19, Tulare likely to follow",state_of_emergency,454143.0
California,Tuolumne,,https://www.mymotherlode.com/news/local/1025656/public-health-officer-declares-tuolumne-county-covid-19-emergency.html,Public Health Officer Declares Tuolumne County COVID-19 Emergency,state_of_emergency,53874.0
California,Ventura,43902.0,https://www.vcstar.com/story/news/local/2020/03/12/coronavirus-ventura-county-state-of-emergency-third-covid-19-case/5039100002/,Ventura County Public Health declares emergency in county as third COVID-19 case reported,state_of_emergency,839620.0
California,Ventura,43907.0,https://www.vcstar.com/story/news/2020/03/17/cornavirus-california-ventura-county-business-closures-covid-19/5074822002/,"Ventura County orders some businesses to close, shelter in place for vulnerable residents",shelter_in_place,839620.0
California,Yolo,43896.79236,https://www.abc10.com/article/news/health/coronavirus/yolo-county-coronavirus-first-case/103-4b4dd109-b206-47e8-befa-4d756164954a,"Yolo County reports first confirmed case of coronavirus, declares local emergency",state_of_emergency,204593.0
California,Yuba,,https://yubanet.com/regional/statewide-shelter-in-place-order-replaces-yuba-sutter-directive/,Statewide “Shelter In Place” order replaces Yuba-Sutter directive,shelter_in_place,73340.0
Colorado,Alamosa,,https://alamosanews.com/article/alamosa-county-declares-state-of-emergency,Alamosa County declares state of emergency,state_of_emergency,16253.0
Colorado,Arapahoe,43900.55972,"https://arvadapress.com/stories/coronavirus-covid-19-cases-arapahoe-county-state-of-emergency,295952",First two COVID-19 cases confirmed in Arapahoe County; governor declares state of emergency for Colorado,state_of_emergency,607070.0
Colorado,Douglas,,https://www.wdio.com/coronavirus/douglas-county-state-of-emergency-covid-19/5675714/,"Douglas Co., City of Superior declare state of emergency in midst of COVID-19",state_of_emergency,305963.0
Colorado,Eagle,,https://www.vaildaily.com/news/eagle-declares-local-emergency-in-coronavirus-fight/,Eagle declares ‘local emergency’ in coronavirus fight,state_of_emergency,52460.0
Colorado,Fremont,43906.74306,https://www.canoncitydailyrecord.com/fremont-county-commissioners-declare-local-emergency-disaster-close-county-buildings,"Fremont County Commissioners declare local emergency disaster, close county buildings",state_of_emergency,46451.0
Colorado,Garfield,,https://www.postindependent.com/news/garfield-county-approves-emergency-food-assistance-extends-covid-19-disaster/,"Garfield County approves emergency food assistance, extends COVID-19 disaster",disaster_declaration,57302.0
Colorado,Garfield,,https://www.postindependent.com/news/garfield-county-declares-emergency-sets-up-covid-19-hotlines/,"Garfield County declares emergency, sets up COVID-19 hotlines",state_of_emergency,57302.0
Colorado,Garfield,,https://www.postindependent.com/news/garfield-county-issues-health-order-to-align-with-current-state-orders/,Garfield County issues health order to align with current state orders,None,57302.0
Colorado,Larimer,43907.0,https://www.coloradoan.com/story/news/2020/03/17/larimer-county-coronavirus-cases-rise-emergency-declared-colorado-covid/5068973002/,"Larimer County: Coronavirus cases rise to 4, state of emergency officially declared",state_of_emergency,315988.0
Colorado,Montrose,,https://www.montrosepress.com/free_access/city-of-montrose-to-declare-emergency-in-light-of-covid/article_93e2bb0c-663d-11ea-a615-472fd2913c58.html,City of Montrose to declare emergency in light of COVID-19,state_of_emergency,40713.0
Colorado,Morgan,43910.09097,https://www.fortmorgantimes.com/covid-19-morgan-county-declares-state-of-emergency,COVID-19: Morgan County declares state of emergency,state_of_emergency,28404.0
Colorado,Sedgwick,,https://www.kansas.com/news/coronavirus/article241405696.html,Sedgwick County will consider stay-at-home orders,shelter_in_place,2360.0
Colorado,Summit,,https://www.summitdaily.com/news/summit-county-expected-to-order-widespread-business-closures/,Summit County orders widespread business closures amid COVID-19 outbreak,school_business_closure,28649.0
Colorado,Teller,,https://gazette.com/pikespeakcourier/teller-county-commissioners-declare-disaster-emergency/article_812b93a2-6945-11ea-be25-5724370aedaf.html,Teller County Commissioners declare disaster emergency,state_of_emergency,23275.0
Colorado,Washington,43907.0,https://www.post-gazette.com/local/washington/2020/03/17/Washington-County-declares-disaster-emergency-COVID-19-coronavirus/stories/202003170162,Washington County declares COVID-19 disaster emergency,state_of_emergency,4803.0
Colorado,Weld,43906.0,https://bizwest.com/2020/03/16/weld-county-declares-public-health-emergency-over-coronavirus-but-stops-short-of-restaurant-closures/,"Weld County declares public health emergency over coronavirus, but stops short of restaurant closures – BizWest",state_of_emergency,269785.0
Colorado,Yuma,43909.44931,https://www.yumapioneer.com/council-approved-emergency-declaration-tuesday-night/,Council approved emergency declaration Tuesday night – Yuma Pioneer,None,10151.0
Connecticut,Hartford,43905.83889,https://www.nbcconnecticut.com/news/local/west-hartford-declares-state-of-emergency-over-coronavirus-concerns/2239132/,West Hartford Declares State of Emergency Over Coronavirus Concerns,state_of_emergency,
Connecticut,New Haven,43905.74375,https://patch.com/connecticut/newhaven/coronavirus-new-haven-mayor-declares-state-emergency,Coronavirus New Haven: Mayor Declares State Of Emergency,state_of_emergency,
Florida,Bay,43907.0,https://www.newsherald.com/news/20200317/coronavirus-bay-county-declares-state-of-emergency-in-response-to-covid-19-pandemic,CORONAVIRUS: Bay County declares state of emergency in response to COVID-19 pandemic,state_of_emergency,174987.0
Florida,Brevard,43904.0,https://www.floridatoday.com/story/news/2020/03/14/brevard-county-declares-state-emergency-amid-covid-19/5050567002/,Brevard County declares local state of emergency due to coronavirus,state_of_emergency,550823.0
Florida,Broward,43913.0,https://www.local10.com/news/local/2020/03/23/broward-county-orders-all-non-essential-businesses-closed-amid-coronavirus-pandemic/,Broward County orders all non-essential businesses closed amid coronavirus pandemic,school_business_closure,1838844.0
Florida,Broward,43913.33333,https://www.nbcmiami.com/news/local/6-things-to-know-covid-19-testing-site-opens-at-hard-rock-broward-county-orders-shut-down/2209548/,"6 Things to Know – COVID-19 Testing Site Opens at Hard Rock, Broward County Orders Shut Down",None,1838844.0
Florida,Broward,43900.44028,https://www.nbcmiami.com/news/local/3-of-4-broward-coronavirus-cases-from-company-at-port-everglades/2203213/,Broward County Declares Emergency After 4th Confirmed Coronavirus Case,state_of_emergency,1838844.0
Florida,Charlotte,,https://www.nbc-2.com/story/41904527/charlotte-county-declares-local-state-of-emergency,Charlotte County declares local state of emergency,state_of_emergency,164736.0
Florida,Collier,43906.0,https://www.naplesnews.com/story/news/government/2020/03/16/collier-mull-state-emergency-due-covid-19-naples-hold-briefing/5057312002/,Collier County declare states of emergency due to coronavirus,state_of_emergency,339642.0
Florida,Columbia,,https://www.wcjb.com/content/news/Columbia-County-announces-a-local-state-of-Emergency-568942581.html,Columbia County declares local State of Emergency,state_of_emergency,67543.0
Florida,Escambia,43906.0,https://www.pnj.com/story/news/2020/03/16/coronavirus-pensacola-cancels-event-permits-facility-reservations-50-people/5058562002/,"Escambia County declares state of emergency, city community centers to close",state_of_emergency,305817.0
Florida,Flagler,43906.80208,https://www.palmcoastobserver.com/article/flagler-county-declares-local-state-of-emergency-for-covid-19-urges-residents-to-avoid-gatherings,"Flagler County declares local state of emergency for COVID-19, urges residents to avoid gatherings",state_of_emergency,99956.0
Florida,Glades,,https://www.nbc-2.com/story/41915894/glades-county-declares-local-state-of-emergency,Glades County declares local state of emergency,state_of_emergency,13345.0
Florida,Hendry,,https://www.nbc-2.com/story/41916805/hendry-county-declares-local-state-of-emergency,Hendry County declares local state of emergency,state_of_emergency,37471.0
Florida,Hernando,43909.0,https://www.tampabay.com/news/health/2020/03/19/hernando-county-declares-a-state-of-emergency-and-adjusts-services/,Hernando County declares a state of emergency and adjusts services,state_of_emergency,174441.0
Florida,Hillsborough,43900.80556,https://patch.com/florida/southtampa/coronavirus-county-partially-activates-emergency-operations,Coronavirus: Hillsborough County Declares State Of Emergency,state_of_emergency,1291578.0
Florida,Indian River,43907.56389,https://www.wptv.com/news/region-indian-river-county/indian-river-county-declares-state-of-emergency-for-coronavirus,Indian River County declares state of emergency for coronavirus,state_of_emergency,141994.0
Florida,Lee,43907.0,https://www.news-press.com/story/news/local/2020/03/17/lee-county-declares-emergency-libraries-shut-parks-remain-open/5066261002/,"Lee County declares state of emergency; libraries, recreation centers close",state_of_emergency,661115.0
Florida,Leon,,https://www.wctv.tv/content/news/Leon-County-declares-state-of-emergency-due-to-coronavirus-568839411.html,Leon County declares state of emergency due to coronavirus,state_of_emergency,281845.0
Florida,Levy,,https://www.wcjb.com/content/news/Levy-County-declares-a-local-state-of-emergency-Heres-what-you-need-to-know-568872871.html,Levy County declares a local state of emergency: Here’s what you need to know,state_of_emergency,39644.0
Florida,Manatee,43905.0,https://www.heraldtribune.com/news/20200315/coronavirus-florida-manatee-county-expected-to-declare-state-of-emergency,Coronavirus Florida: Manatee County expected to declare state of emergency,state_of_emergency,342106.0
Florida,Miami-Dade,43909.0,https://therealdeal.com/miami/2020/03/19/miami-dade-orders-all-non-essential-businesses-closed-due-to-coronavirus/,Miami-Dade orders all non-essential businesses closed due to coronavirus,school_business_closure,2617176.0
Florida,Miami-Dade,,https://www.foxnews.com/us/miami-dade-state-of-emergency-coronavirus,"Miami-Dade declares state of emergency amid coronavirus, suspends all major events",state_of_emergency,2617176.0
Florida,Okaloosa,43907.0,https://www.nwfdailynews.com/news/20200317/coronavirus-okaloosa-declares-state-of-emergency,CORONAVIRUS: Okaloosa declares state of emergency,state_of_emergency,193811.0
Florida,Pasco,43902.0,https://www.tampabay.com/news/health/2020/03/12/pasco-declares-coronavirus-emergency/,Pasco declares coronavirus emergency,state_of_emergency,475502.0
Florida,Polk,43907.0,https://www.theledger.com/news/20200317/coronavirus-in-polk-county-commissioners-declare-local-emergency-status,Coronavirus in Polk: County commissioners declare local emergency status,state_of_emergency,623009.0
Florida,Putnam,,https://www.wcjb.com/content/news/Putnam-County-commissioners-declare-local-state-of-emergency-568799771.html,Putnam County commissioners declare local state of emergency,state_of_emergency,72577.0
Florida,St. Johns,43909.0,https://www.staugustine.com/news/20200319/coronavirus-st-johns-county-educates-beachgoers-but-senator-urges-stricter-action,"Coronavirus: St. Johns County educates beachgoers, but senator urges stricter action",None,209647.0
Florida,St. Lucie,43907.0,https://www.wflx.com/2020/03/17/st-lucie-county-hold-news-conference-pm/,St. Lucie County implements measure amid state of emergency,state_of_emergency,286832.0
Florida,Sumter,43907.0,https://www.villages-news.com/2020/03/17/sumter-commission-declares-state-of-emergency-in-wake-of-coronavirus-outbreak/,Sumter Commission declares state of emergency in wake of Coronavirus outbreak,state_of_emergency,107056.0
Florida,Taylor,43909.79236,https://www.wtxl.com/news/local-news/taylor-county-declares-local-state-of-emergency-due-to-covid-19,Taylor County declares local state of emergency due to COVID-19,state_of_emergency,22857.0
Florida,Wakulla,,https://www.wctv.tv/content/news/Wakulla-County-declares-local-state-of-emergency-due-to-coronavirus-568863811.html,Wakulla County declares local state of emergency due to coronavirus,state_of_emergency,31022.0
Florida,Walton,43906.0,https://www.nwfdailynews.com/news/20200316/coronavirus-walton-county-commissioners-declare-local-state-of-emergency,CORONAVIRUS: Walton County commissioners declare local state of emergency,state_of_emergency,59807.0
Florida,Washington,,https://www.wjhg.com/content/news/Washington-County-declares-state-of-emergency-due-to-COVID-19-568866021.html,Washington County declares state of emergency due to COVID-19,state_of_emergency,24624.0
Georgia,Baldwin,43912.0,https://41nbc.com/2020/03/22/352623/,"Baldwin County under a state of emergency, curfew included",state_of_emergency,46039.0
Georgia,Bibb,43913.62222,https://www.13wmaz.com/article/news/health/coronavirus/macon-bibb-mayor-to-announce-business-closings/93-11ca2f50-fabf-46e3-adf7-13501546c69d,READ: Macon-Bibb mayor declares state of emergency,state_of_emergency,154721.0
Georgia,Brooks,,https://www.wctv.tv/content/news/Brooks-County-limits-county-services-568971151.html,"Brooks County limits county services, declares local state of emergency",state_of_emergency,15516.0
Georgia,Calhoun,,https://www.northwestgeorgianews.com/calhoun_times/calhoun-gordon-county-announce-joint-resolution-declaring-state-of-emergency/article_930cc6fa-6d5e-11ea-98f3-cf32cf5da30c.html,"Calhoun, Gordon County announce joint resolution declaring state of emergency",state_of_emergency,6523.0
Georgia,Carroll,,https://times-georgian.com/news/98896/emergency-declared-for-carroll-county/,Emergency declared for Carroll County,state_of_emergency,112355.0
Georgia,Chatham,43912.0,https://www.savannahnow.com/news/20200322/state-of-emergency-declared-in-chatham-county-for-coronavirus,State of emergency declared in Chatham County for coronavirus,state_of_emergency,278434.0
Georgia,Chattooga,43913.5875,https://allongeorgia.com/chattooga-local-news/joint-resolution-declaring-chattooga-county-state-of-emergency/,Joint Resolution Declaring Chattooga County State of Emergency,state_of_emergency,25138.0
